CSZJJ Fascicle,CSZJJ Section No.,CSZJJ Group
2,1,Part 1: New List of Records of Sutras and Treatises 新集經論錄第一
2,2,Part 2: New List of Different Translations of Sūtras 新集異出經錄第二
3,1,Part 1: A Recompilation of Dao'an’s List of Old Sūtras 新集安公古異經錄第一
3,2,Part 2: A Recompilation of Dao'an’s List of Anonymously Translated Sūtras 新集安公失譯經錄第二
3,3,Part 3: A Recompilation of Dao'an’s List of Versions of Sūtras from Liangzhou 新集安公涼土異經錄第三
3,4,Part 4: A Recompilation of Dao'an’s List of Versions of Sūtras from Guanzhong 新集安公關中異經錄第四
3,7,Part 7: New List of Vinaya Texts from the Four Schools that have Spread to China 新集律來漢地四部記錄第七
4,1,Part 1: New List of Additional Anonymously Translated and Miscellaneous Sūtras 新集續撰失譯雜經錄第一
5,1,Part 1: Newly Compiled List of Abridged Scriptures 新集抄經錄第一
5,2,Part 2: Newly Compiled List of Dao An’s Doubtful Scriptures 新集安公疑經錄第二
5,3,Part 3: Newly Compiled List of Doubtful Scriptures 新集疑經錄第三
5,4,Part 4: Newly Compiled List of Dao'an’s Annotated Scriptures and Miscellaneous Treatises 新集安公注經及雜經志錄第四
5,5,Part 5: Heterodox Ritual Notes Created by Fervent Student of Hīnayāna Zhu Fadu 小乘迷學竺法度造異儀記第五
5,6,Part 6: Doubtful Allegories from Venerable Rui of Chang’an 長安叡法師喻疑第六