corpus_item_id,bib_id,pages
bajaur,schlosser_2016,
asoka_rock_edicts,hultzsch,
asoka_rock_edicts,oldenberg,
asoka_rock_edicts,taranatha,
nagarjunakonda,wasler2005,34-36
nagarjunakonda,murthy1977,1-17
asta,nattier2008,73-88
lotus_sutra,kudo2015,197-213
asta,braarvig_liland2010,18-21
diamond_sutra,braarvig_liland2010,26-29
agama,braarvig_liland2010,2-17
vinaya,braarvig_liland2010,32-45
abhidharma,braarvig_liland2010,46-57
avadana,braarvig_liland2010,58-71
asoka_rock_edicts,salomon1998,73-75
gilgit,vira_chandra1959,
diamond_sutra,schopen1989 ,89-140
gilgit,dutt1939,
dharmapada,saloman2006,136
rhinoceros,saloman2006,136-138
sramanyaphala,saloman2006,140
asta,falk_karashima2012,
asta,saloman2018,135
dharmapada,saloman1999,6
asoka_rock_edicts,neelis2012,12–32
dharmapada,li2011,81
asoka_rock_edicts,neelis2011,78-93
gilgit_folklore,muhammad1905,
dharmapada,schopen1997,25
asoka_rock_edicts,li1993,
asoka_rock_edicts,lamotte1988,711-718
bajaur,schlosser2022,
asoka_rock_edicts,zurcher2007,279
kusan_inscriptions,shrava1993,
kusan_inscriptions,damsteegt1978,238-266
bajaur,strauch2018,207-242
dharmapada,baums2009,44-48
asta,huifeng2018,187-238
bodhisattvapitaka ,baums2016,267–282
lotus_sutra,boucher1998,471–506
abhidharma,bronkhorst2018,119-140
diamond_sutra,harrison2006,133–159
larger_prajnaparamita,bongard_levin1996,19–60
asta,lancaster1975,30–41
swat,sadhar ,
mahabharata ,brockington1998,
mahabharata ,brockington2010,75–87
asta,lancaster2012,226-260
vinaya,silk2002,355-368
dharmapada,salomon20112,135–150
bajaur,falk_strauch2014,51–78
agama,falk_strauch2014,51–78
avadana,falk_strauch2014,51–78
rhinoceros,salomon_glass2000,
agama,gombrich1988,33
vinaya ,gombrich1988,38-39
lotus_sutra,gombrich1988,41-42
gilgit,kudo2019,168–181
dharmapada,brough1962,
kusan_inscriptions,simswilliams2012,76–80
kusan_inscriptions,cribb2018,7–34
kusan_inscriptions,bivar1963,498–502
bajaur,strauch2012,131–168
bodhisattvapitaka ,baums2016,267–282
mathura,luders1961,
dharmapada,bailey1945khotan,
dharmapada,barua_mitra1921,
hoernle,wille2009fragments15004,
hoernle,ye2009fragments15009,
hoernle,karashima2009fragments,
mahaparinirvana,habata2009maha,
ratnaketu,hartman2009,
suva,skjaervo2009,
diamond_sutra,harrison2009fragments,
larger_prajnaparamita,suzuki_nagashima2015,
senior,baums2024commentary,
bodhisattvapitaka,baums_etal2016bodhisattva,
bhadrakalpika,baums_glass_matsuda_2016,
bhadrakalpika,allon_salomon2010mahayana,
sarvapunya,allon_salomon2010mahayana,7-8
bodhisattvapitaka ,allon_salomon2010mahayana,
aksobha,allon_salomon2010mahayana,
asta,allon_salomon2010mahayana,
aksobha,sato2004aksobhya,
asta,sato2004aksobhya,
asta,schopen2000lookingglass,
pratitya,boucher1991pratītya,
mahaparinirvana,braarvig2000schoyen,
asta,braarvig2000schoyen,
asokamukha,braarvig2000schoyen,
vinaya,braarvig2000schoyen,
srimala,braarvig2000schoyen,
srimala,matsuda2000srimaladevi,
pravarana,braarvig2000schoyen,
sarvadharmapravrttinirdesa,braarvig2000schoyen,
sarvadharmapravrttinirdesa,braarvig2000sarvadharma,
ajatasatru,braarvig2000schoyen,
ajatasatru,harrison2000ajatasatru,
rastra,boucher2008forest,xvii
niya,boyer1920kharisthi,
agama,braarvig2002schoyen2,
asta,braarvig2002schoyen2,
ajatasatru,braarvig2002schoyen2,
candrottara,braarvig2002schoyen2,
candrottara,braarvig2002candrottara,
lotus_sutra,braarvig2002schoyen2,
vinaya,braarvig2002schoyen2,
larger_sukhavati,braarvig2002schoyen2,
samadhiraja,braarvig2002schoyen2,
samadhiraja,skilton2002samadhiraja,
abhidharma,braarvig2002schoyen2,
huviska,braarvig2002schoyen2,
huviska,allon_salomon2010mahayana,
jyoti,braarvig2002schoyen2,
jataka,braarvig2002schoyen2,
bodhisattvapitaka ,matsuda2014japanese,
mahaparinirvana,matsuda2014japanese,
samadhiraja,matsuda2014japanese,
samghata,matsuda2014japanese,
agama,matsuda2014japanese,
huviska,matsuda2014japanese,
asta,matsuda2014japanese,
jataka,matsuda2014japanese,
sukhavati,matsuda2014japanese,
gandha,matsuda2014japanese,
sarvagati,matsuda2014japanese,167-168
buddhacarita,salomon2012asvaghosa,
sudhanavadana,skjaervo2012khotan,114
aranemi,skjaervo2012khotan,141
suva,skjaervo2012khotan,115
samghata,skjaervo2012khotan,115
heart,skjaervo2012khotan,115
diamond_sutra,skjaervo2012khotan,115
ananta,skjaervo2012khotan,115
surangamasamadhi,skjaervo2012khotan,115
vimalakirti,skjaervo2012khotan,115
bhaisajyaguru,skjaervo2012khotan,116
lotus_sutra,skjaervo2012khotan,117
ratnakuta,skjaervo2012khotan,119
aparimitayu,skjaervo2012khotan,120
asokavadana,skjaervo2012khotan,121
nandavadana,skjaervo2012khotan,121
bhadracarya,skjaervo2012khotan,121
hamsasvara,skjaervo2012khotan,141
suva,kumamoto2012khotan,147
surangamasamadhi,kumamoto2012khotan,147
vimalakirti,kumamoto2012khotan,148
sukhavati,kumamoto2012khotan,148
bhaisajyaguru,kumamoto2012khotan,148
ananta,kumamoto2012khotan,148
karmavibhanga,kumamoto2012khotan,148
jnanolka,kumamoto2012khotan,148
amrtaprabha,kumamoto2012khotan,148
avalokitesvara,kumamoto2012khotan,148
diamond_sutra,kumamoto2012khotan,148
bhadracarya,kumamoto2012khotan,148
bhadrakalpika,kumamoto2012khotan,148
sumukha,kumamoto2012khotan,148
pradaksina,kumamoto2012khotan,148
aparimitayu,kumamoto2012khotan,148
heart,kumamoto2012khotan,148
asokavadana,kumamoto2012khotan,148
sudhanavadana,kumamoto2012khotan,148
nandavadana,kumamoto2012khotan,148
arthavargiya,hoernle1916nipata,
agrapradipadharani,chen2012khotanese,
mahavaipulyabuddha,chen2012khotanese,
hastikaksya,chen2012khotanese,
kasyapaparivarta ,vorobeva2002kasyapaparivarta,
yogacarabhumi,delhey2013yogacarabhumi,504-512
dasabhumika,endangered2024dasabhumika,
jataka,shomakhmadov2023jatakamala,
samyuktagama,glass2007samyuktagama,
udanavarga,peyrot2016udanavarga,
udanavarga,peyrot2016sanskrit,
udanavarga,skilling2020udanavarga,
ksudrakagama,salomon2020gandharan,176
ekottarikagama,salomon2020gandharan,178
ekottarikagama,allon2001ekottarikagama,
arthapada,salomon2020gandharan,178-179
daksinavibhanga,strauch2017daksinavibhanga,
madhyama,allon_silverlock2017,
maitreyavyakarana,liu2016vyakarana,
dasabhumika,saerji2020dasabhumikasutra,
vinayasutravrtti,yonezawa2020vinayasutravrtti,
diamond_sutra,conze1975wisdom,17-76
larger_prajnaparamita,zacchetti2021dazhidulun,4
sarvastivadavinaya,boltz_salomon1988kathinavastu,
sarvastivadavinaya,vorobyova2000vinaya,
dirghagama,hartmann2002dīrghagama,
dirghagama,disimone2020dirghagama,
dharmaguputakavinaya,wille2005turfan,
sarvastivadavinaya,wille2005turfan,
ekottarikagama,wille2005turfan,
dirghagama,wille2005turfan,
samyuktagama,wille2005turfan,
madhyama,wille2005turfan,
mahaparinirvana,wille2005turfan,
udanavarga,wille2005turfan,
asta,wille2005turfan,
dasabhumika,wille2005turfan,
kasyapaparivarta ,wille2005turfan,
ugradattapariprccha,wille2005turfan,
sariputraprakarana,wille2005turfan,
buddhacarita,wille2005turfan,
jataka,wille2005turfan,
pratimoksa,nanatusita2018pratimoksasutra,
mahaparinirvana,braarvig_liland2010,6-9
pratimoksa,braarvig_liland2010,32-37
mahameghasutra,kazuo2016manuscripts,98
madhyama,strauch2008bajaur,19
karmavacana,strauch2008bajaur,22
pratimoksa,strauch2008bajaur,26
aksobha,strauch2008bajaur,47-60
mahasamnipata,han2023sagara,
divyavadana,bendall1883manuscripts,1
suva,jiang2003golden,
suva,emmerick2016golden,
asta,bendall1883manuscripts,1–4
saptasatika,bendall1883manuscripts,5–6
dasabhumika,bendall1883manuscripts,4–5
bodhisattvabhumi,formigatti2025bodhisattvabhumi,
asta,cambridge2025astasahasrika,
dasabhumika,cambridge2025dasabhumikasutra,
suva,cambridge2025suvarnaprabhasottamasutra,
lankavatara,cambridge2025lankavatara,
lalitavistara,cambridge2025lalitavistara,
lotus_sutra,cambridge2025saddharmapundarika,
jataka,aryasura2025jatakamala,
mahavastu,cambridge2025mahavastu,
karunapundarika,cambridge2025karunapundarika,
larger_sukhavati,cambridge2025sukhavativyuha,
buddhacarita,cambridge2025buddhacarita,
mahameghasutra,cambridge2025meghasutra,
rastra,cambridge2025rastrapalapariprccha,
ratnaguna,cambridge2025ratnagunasancaya,
bodhisattvabhumi,cambridge2025bodhisattvabhumi,
bodhisattvapratimoksa,cambridge2025bodhisattvapratimoksa,
mahasanghikavinaya,dutt1939,
upalipariprccha,cambridge2025upalipariprccha,
upalipariprccha,dsbc2004upalipariprccha,
upalipariprccha,toh68,
upalipariprccha,lang2001upalipariprccha,
suhrllekha,ouzhu2020suhrllekha,
daksinavibhanga,strauch2017daksinavibhanga,
lankavatara,shakya2019manuscripts,43
larger_sukhavati,shakya2010catalogue,52
asta,shakya2019manuscripts,38
lotus_sutra,shakya2019manuscripts,47
asokavadana,shakya2019manuscripts,143
srimala,silk2023srimala,
lankavatara,deleanu2018lankavatara,
buddhacarita,lettere2023translation,18-32
bhadrapala,hoernle1916manuscript,88-93
bhadrapala,harrison1993earliest,150
kasyapaparivarta ,harrison1993earliest,164
saṃdhi­nirmocana,matsuda2013samdhinirmocana,
saṃdhi­nirmocana,toh106,
avadana_anthology,karashima2015avadana,
sardulakarnavadana,miyazaki2015sardulakarnavadana,
asta,walser2018genealogies,129-151
hariti,chandra1977hariti,
hariti,padma2011hariti,
hariti,bivar1970hariti,
hariti,bagchi2024demoness,
sardulakarnavadana,mukhopadhyaya1954sardulakarnavadana,
asokavadana,braarvig_liland2010,58-61
huviska,albery2017,303
jyoti,baums2002jyotiskavadana,
pravarana,matsuda2000pravarana,