taisho_no,total_length,not_in_shanzai_frequency1000,ye2_frequency1000,er3_frequency1000,ye3_frequency1000,wei4_frequency1000,bei_frequency1000,hezhe_frequency1000,hedengren_frequency1000,cun_frequency1000,tian_frequency1000,sixiang_frequency1000,di_frequency1000,shigu_frequency1000,yiqie_frequency1000,century,attribution_analysis
T 211,55265,0.34379806387406137,0.054283904822220209,0.34379806387406137,0.75997466751108289,1.3932868904369855,0.37998733375554145,0.0,0.0,0.48855514339998191,0.0,0.0,0.0,0.0,0.0,4,Fa Ju and Fa Li
T 683,3543,1.1289867344058708,0.0,0.0,0.0,0.56449336720293541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Fa Ju and Fa Li
T 226,56405,0.63824129066572111,0.07091569896285789,0.24820494637000268,0.0,0.60278344118429217,0.017728924740714472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Zhu Fonian
T 1547,191751,0.0052150966618166273,1.8409291216212693,0.052150966618166268,1.4393666786613888,8.0051733758885231,0.046935869956349636,0.0,0.0,0.088656643250882655,0.0,0.0,0.0,0.0,0.0,4,Saṃghabhūti and Zhu Fonian
T 1549,154019,0.025970821781728229,2.7983560469812168,0.051941643563456458,2.8373122796538088,15.225394269538175,0.0454489381180244,0.0,0.0,0.012985410890864114,0.0,0.0,0.0064927054454320572,0.0,0.0,4,Saṃghabhūti and Zhu Fonian
T 194,48402,0.16528242634601875,0.43386636915829924,0.0,0.16528242634601875,0.78509152514358915,0.12396181975951408,0.0,0.0,0.12396181975951408,0.0,0.0,0.0,0.0,0.0,4,Saṃghabhūti and Zhu Fonian
T 1505,35752,0.055940926381740877,0.16782277914522264,0.16782277914522264,2.6851644663235623,2.1537256656970238,0.19579324233609308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Zhu Fonian and Buddhapalita
T 125,526798,0.37205911943477388,0.32839912072559119,0.22209651517279869,0.7725921510711885,2.1943895003397889,0.04176173789573992,0.0,0.0,0.19362260297115783,0.0,0.0,0.0,0.0,0.0,4,Dharmanandi and Zhu Fonian
T 212,272458,0.1945253947397397,0.27527178500906563,0.17984423287258952,5.0172870680985691,1.8388155238605584,0.28261236594264066,0.0,0.0,0.18351452333937709,0.0,0.0,0.0,0.0,0.0,4,Zhu Fonian
T 656,239447,0.3883949266434743,0.47192071731949037,0.045939184871808793,0.45521555918428713,3.6333718944066953,0.020881447669004,0.0,0.0,0.012528868601402399,0.0,0.0,0.0,0.0,0.0,4,Zhu Fonian
T 309,141216,0.10622025832766825,0.304498073872649,0.07789485610695672,1.0409585316111487,2.9175164287332884,0.056650804441423071,0.0,0.0,0.0424881033310673,0.0,0.0,0.0,0.0,0.0,4,Zhu Fonian
T 385,19049,1.3649010446742613,0.78744291038899683,0.0,0.31497716415559868,1.4173972387001943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Zhu Fonian
T 26,748200,0.47447206629243516,1.2242715851376638,0.040096230954290296,1.5143009890403636,2.43918738305266,0.024057738572574178,0.0,0.0,0.32878909382518046,0.0,0.0,0.0,0.0,0.0,4,Saṃghadeva
T 1543,266009,0.0,8.0561184020089556,0.0075185426057013107,2.0412843174479058,5.5825178847332237,0.0075185426057013107,0.0,0.0,0.015037085211402621,0.0,0.0,0.0,0.0,0.0,4,Saṃghadeva
T 1550,39551,0.0,0.0505676215519203,0.025283810775960151,0.0505676215519203,4.3740992642411065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Saṃghadeva
T 1506,32441,0.030825190345550382,0.43155266483770538,0.0,0.061650380691100765,3.699022841466046,0.030825190345550382,0.0,0.0,0.030825190345550382,0.0,0.0,0.0,0.0,0.0,4,Saṃghadeva
T 223,372208,0.16388685896058117,0.102093453122985,0.010746679276103684,0.33046038774018832,0.43524051068219921,0.0080600094570777627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva and Xiao Yaoyuan
T 227,94214,0.57316322414927712,0.26535334451355425,0.01061413378054217,0.880973103785,0.19105440804975907,0.031842401341626511,0.0,0.0,0.01061413378054217,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 262,100277,0.42881219023305445,0.059834259102286666,0.069806635619334451,0.11966851820457333,0.30914367202848109,0.069806635619334451,0.0,0.0,0.0099723765170477777,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 657,153167,0.26768168077980248,0.40478693191092074,0.013057642964868412,0.22197993040276298,0.69858389862046011,0.071817036306776258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 475,37105,0.37730764047971971,0.26950545748551408,0.21560436598841126,1.0510712841935048,1.4283789246732246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 642,33752,0.11851149561507467,0.355534486845224,0.029627873903768667,0.29627873903768664,0.74069684759421661,0.38516236074899268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 286,61576,0.19488112251526568,0.016240093542938806,0.0,0.04872028062881642,0.58464336754579715,0.016240093542938806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 586,59343,0.30332136899044537,1.2638390374601891,0.0674047486645434,1.6851187166135855,1.1795831016295097,0.0,0.0,0.0,0.050553561498407569,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 482,43416,0.046065966463976413,0.0,0.0,0.023032983231988206,3.2937166021743138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 653,42076,0.023766517729822224,0.07129955318946668,0.0,0.3564977659473334,1.0219602623823558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 366,2775,0.0,0.0,0.0,0.0,0.36036036036036034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 454,3834,0.78247261345852892,0.0,0.0,0.78247261345852892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 456,10142,0.49299940840070988,0.098599881680141985,0.098599881680141985,0.19719976336028397,0.39439952672056794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 235,7788,0.25680534155110429,0.25680534155110429,0.0,1.5408320493066257,0.25680534155110429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 650,21601,0.092588306096939951,0.23147076524234989,0.0,0.13888245914540992,0.32405907133928985,0.092588306096939951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 464,4261,0.4693733865289838,0.0,0.0,0.0,1.1734334663224595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 389,3005,0.33277870216306155,0.33277870216306155,0.0,6.9883527454242929,0.33277870216306155,0.33277870216306155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 615,507,0.0,0.0,0.0,3.9447731755424065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 616,22754,0.0,0.087896633558934692,0.0,0.3076382174562714,1.7579326711786938,0.043948316779467346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 614,32488,0.0,0.092341787737010586,0.061561191824673726,0.49248953459738981,0.64639251415907417,0.18468357547402117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 207,15351,0.13028467200833821,0.39085401602501463,0.6514233600416911,8.07764966451697,1.7588430721125659,0.19542700801250731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva and Dao
T 1509,1520207,0.094723942199976707,0.11708931744163788,0.021707570087494663,0.28614524206242964,0.55979218619569571,0.024338790704160684,0.0,0.0,0.000657805154166505,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 1646,226784,0.0,9.048257372654156,0.083780160857908847,1.5609566812473543,1.6623747707069283,0.026456892902497531,0.0,0.0,0.0044094821504162551,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 1521,162029,0.055545612205222521,0.18515204068407506,0.043202142826284186,1.166457856309673,0.95661887686772129,0.0,0.0,0.0,0.012343469378938338,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 1564,54830,0.018238190771475472,0.072952763085901887,0.054714572314426412,0.16414371694327923,1.7326281232901697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 1568,15589,0.12829559304637886,0.3848867791391366,0.064147796523189429,0.12829559304637886,0.3848867791391366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 1569,27447,0.0,0.72867708674900711,0.0,1.2751849018107626,0.43720625204940428,0.036433854337450361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 1435,937357,0.040539516960987114,0.81932497436942386,0.064009763622611238,0.066143422410031613,0.35952150568033314,0.035205369992436175,0.0,0.0,0.012801952724522248,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 1436,15926,0.3139520281301017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 1,270108,0.35171116738489788,0.58865342751788174,0.14808891258311491,0.71823122602810729,1.5253157996060835,0.070342233476979585,0.0,0.0,0.38132894990152089,0.0,0.0,0.0,0.0,0.0,5,Buddhayaśas and Zhu Fonian
T 1428,848298,0.077802847584221582,0.53518928489752426,0.2074742602245909,0.24519685299269833,0.557587074353588,0.22279906353663453,0.0,0.0,0.32535736262492665,0.0,0.0,0.0,0.0,0.0,5,Buddhayaśas
T 405,14985,0.066733400066733409,0.20020020020020021,0.0,0.26693360026693363,0.93426760093426764,0.0,0.0,0.0,0.13346680013346682,0.0,0.0,0.0,0.0,0.0,5,Buddhayaśas
T 1430,15294,0.13077023669412841,0.0,0.0,0.0,0.13077023669412841,0.0653851183470642,0.0,0.0,0.26154047338825681,0.0,0.0,0.0,0.0,0.0,5,Buddhayaśas
T 374,429410,0.6287697072727696,0.61013949372394682,0.058219417340071258,0.9268531240539345,1.0968538226869424,0.044246757178454152,0.0,0.0,0.020958990242425653,0.0,0.0,0.0,0.0,0.0,5,Dharmakṣema
T 387,54447,0.16529836354620089,0.12856539386926735,0.0,0.25713078773853471,0.33059672709240179,0.036732969676933527,0.0,0.0,0.036732969676933527,0.0,0.0,0.0,0.0,0.0,5,Dharmakṣema
T 157,111397,0.70019838954370406,0.044884512150237442,0.017953804860094975,0.368052999631947,0.17056114617090226,0.017953804860094975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Dharmakṣema
T 663,44191,0.4299518001403001,0.067887126337942111,0.045258084225294738,0.0,0.95041976873118961,0.22629042112647371,0.0,0.0,0.13577425267588422,0.0,0.0,0.0,0.0,0.0,5,Dharmakṣema
T 1581,112776,0.026601404554160459,0.070937078811094567,0.0,0.38128679860963327,1.8886997233453926,0.053202809108320918,0.0,0.0,0.026601404554160459,0.0,0.0,0.0,0.0,0.0,5,Dharmakṣema
T 1500,6473,0.15448787270199288,0.0,0.0,0.0,0.30897574540398576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Dharmakṣema
T 1488,81559,0.0,0.23296018832992066,0.036783187631040104,0.3678318763104011,0.76018587770816215,0.073566375262080208,0.0,0.0,0.085827437805760243,0.0,0.0,0.0,0.0,0.0,5,Dharmakṣema
T 1546,752930,0.0026562894292962162,3.0454358306881115,0.026562894292962162,0.89384139295817677,2.1330004117248618,0.02125031543436973,0.0,0.0,0.095626419454663769,0.0,0.0,0.0,0.0,0.0,5,Daotai and Buddhavarman
T 278,634407,0.20806832207084727,0.07881375836016942,0.0047288255016101647,0.058322181186525372,0.69986617423830444,0.0535933556849152,0.0,0.0,0.0078813758360169427,0.0,0.0,0.0,0.0,0.0,5,Buddhabhadra
T 643,90544,0.077310478883194922,0.20984272839724333,0.033133062378512108,0.088354833009365613,0.15462095776638984,0.055221770630853512,0.0,0.0,0.033133062378512108,0.0,0.0,0.0,0.0,0.0,5,Buddhabhadra
T 618,38705,0.051672910476682606,0.051672910476682606,0.051672910476682606,0.38754682857511952,2.2736080609740341,0.0,0.0,0.0,0.051672910476682606,0.0,0.0,0.0,0.0,0.0,5,Buddhabhadra
T 666,6023,0.16603021749958491,0.0,0.0,0.0,0.49809065249875478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Buddhabhadra
T 1012,4123,0.72762551540140674,0.0,0.0,0.0,0.24254183846713556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Buddhabhadra
T 296,1346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Buddhabhadra
T 7,29151,1.0634283558025452,0.44595382662687383,0.27443312407807624,0.72038695070495007,0.24012898356831672,0.03430414050975953,0.0,0.0,0.54886624815615248,0.0,0.0,0.0,0.0,0.0,5,Faxian
T 1425,654245,0.12227835138212749,0.51204059641265887,0.12380683077440409,5.2518551918623757,0.26289845547157409,0.14979098044310615,0.0,0.0,0.059610696298787152,0.0,0.0,0.0,0.0,0.0,5,Faxian
T 1426,14150,0.42402826855123676,0.0,0.0,0.0,0.0,0.14134275618374559,0.0,0.0,0.0706713780918728,0.0,0.0,0.0,0.0,0.0,5,Faxian
T 745,6136,0.16297262059973924,0.16297262059973924,0.81486310299869624,1.3037809647979139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Faxian
T 1339,35422,0.3670035571113997,0.64931398565863019,0.084693128564169148,1.6938625712833832,0.56462085709446108,0.028231042854723054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Fazhong
T 193,172386,0.058009351107398514,0.13342150754701659,0.069611221328878217,0.18562992354367525,0.21463459909737451,0.13922244265775643,0.0,0.0,0.046407480885918811,0.0,0.0,0.0,0.0,0.0,5,Baoyun
T 371,8459,0.82752098356779757,0.35465185010048467,0.11821728336682824,0.23643456673365648,0.23643456673365648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Dharmodgata
T 1421,414991,0.1421717579417385,0.17831712013031609,0.15662990281716954,0.081929487627442524,0.36145362188577579,0.17108804769260055,0.0,0.0,0.079519796814870689,0.0,0.0,0.0,0.0,0.0,5,"Zhu Daosheng, Shi Huiyan, and Buddhajīva"
T 1582,94640,0.010566356720202874,0.073964497041420121,0.0,1.2573964497041421,0.73964497041420119,0.010566356720202874,0.0,0.0,0.021132713440405747,0.0,0.0,0.0,0.0,0.0,5,Guṇavarman
T 1503,17802,0.0,0.0,0.0,0.11234692731153803,0.22469385462307606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Guṇavarman
T 1552,164597,0.006075444874450932,0.76550605418081741,0.018226334623352793,0.58324270794728938,3.8396811606529888,0.018226334623352793,0.0,0.0,0.042528114121156521,0.0,0.0,0.0,0.0,0.0,5,Saṅghavarman and Baoyun
T 1441,122263,0.024537268020578588,3.3207102721183026,0.016358178680385724,0.20447723350482158,3.1571284853144452,0.049074536041157177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Saṅghavarman
T 723,5783,0.17292062943109116,0.0,0.0,0.0,0.17292062943109116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Saṅghavarman
T 1673,3878,0.25786487880350695,0.0,0.0,0.0,0.25786487880350695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Saṅghavarman
T 277,8844,0.0,0.0,0.0,0.0,0.11307100859339665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Dharmamitra
T 409,5880,0.3401360544217687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Dharmamitra
T 613,50073,0.019970842569848022,0.59912527709544061,0.019970842569848022,0.019970842569848022,0.039941685139696044,0.019970842569848022,0.0,0.0,0.039941685139696044,0.0,0.0,0.0,0.0,0.0,5,Dharmamitra
T 619,13798,0.072474271633570092,0.0,0.28989708653428037,2.0292796057399625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Dharmamitra
T 590,1458,0.0,0.0,0.0,2.05761316872428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Zhiyan and Baoyun
T 268,50084,0.31946330165322262,0.51912786518648668,0.0,0.059899369059979238,0.1796981071799377,0.0,0.0,0.0,0.059899369059979238,0.0,0.0,0.0,0.0,0.0,5,Zhiyan and Baoyun
T 202,14489,0.27607150251915247,0.34508937814894058,0.069017875629788117,1.1042860100766099,0.069017875629788117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Shi Tanxue and Weide
T 99,717609,0.46125396978020067,0.5546195769562533,0.057134177525644189,0.24525890840276526,1.2834287195394707,0.05156011142558134,0.0,0.0,0.0585276940506599,0.0,0.0,0.0,0.0,0.0,5,"Guṇabhadra, Baoyun, Puti, and Fayong"
T 270,19991,1.7007653444049824,0.90040518233204936,0.1500675303886749,0.35015757090690808,0.80036016207293281,0.1500675303886749,0.0,0.0,0.1500675303886749,0.0,0.0,0.0,0.0,0.0,5,"Guṇabhadra, Baoyun, Puti, and Fayong"
T 353,11287,0.26579250465136883,0.0,0.0,0.088597501550456287,1.5061575263577569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"Guṇabhadra, Baoyun, Puti, and Fayong"
T 430,1307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"Guṇabhadra, Baoyun, Puti, and Fayong"
T 670,59190,0.52373711775637777,0.4899476262882243,0.21963169454299711,0.69268457509714476,3.5141071126879537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"Guṇabhadra, Baoyun, Puti, and Fayong"
T 120,49636,1.0476267225400919,0.46337335804657909,0.10073333870577807,0.18132000967040052,1.0879200580224031,0.060440003223466841,0.0,0.0,0.060440003223466841,0.0,0.0,0.0,0.0,0.0,5,"Guṇabhadra, Baoyun, Puti, and Fayong"
T 189,56429,0.83290506654379837,0.58480568502011376,0.42531322546917361,1.1164472168565809,0.44303460986372256,0.0531641531836467,0.0,0.0,0.0708855375781956,0.0,0.0,0.0,0.0,0.0,5,"Guṇabhadra, Baoyun, Puti, and Fayong"
T 678,7039,0.28413126864611449,0.0,0.28413126864611449,0.0,4.9722972013070041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"Guṇabhadra, Baoyun, Puti, and Fayong"
T 452,4350,0.22988505747126436,0.0,0.0,0.0,1.1494252873563218,0.0,0.0,0.0,0.22988505747126436,0.0,0.0,0.0,0.0,0.0,5,Juqu
T 620,18655,0.053604931653712141,0.053604931653712141,0.0,0.32162958992227286,0.0,0.053604931653712141,0.0,0.0,0.053604931653712141,0.0,0.0,0.0,0.0,0.0,5,Juqu
T 414,59500,0.65546218487394958,0.23529411764705882,0.033613445378151259,0.23529411764705882,0.13445378151260504,0.01680672268907563,0.0,0.0,0.033613445378151259,0.0,0.0,0.0,0.0,0.0,5,Guṇabharman and Shi Xuanqing
T 1014,6530,0.30627871362940273,0.0,0.0,0.15313935681470137,0.76569678407350694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Guṇabharman and Shi Xuanqing
T 1439,16092,0.0,0.0,0.06214267959234402,0.18642803877703204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Sengqu
T 1437,18359,0.10893839533743667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10893839533743667,0.0,0.0,0.0,0.0,0.0,5,Faying
T 203,90439,0.099514589944603535,0.18797200322869559,0.14374329658664958,0.98408872278552384,0.30960094649432213,0.33171529981534514,0.0,0.0,0.08845741328409204,0.0,0.0,0.0,0.0,0.0,5,Kiṅkara and Tanyao
T 2058,45056,0.99875710227272729,0.35511363636363635,0.26633522727272724,0.55486505681818188,0.33291903409090906,0.11097301136363635,0.0,0.0,0.044389204545454544,0.0,0.0,0.0,0.0,0.0,5,Kiṅkara and Tanyao
T 1632,9947,0.0,1.1058610636372777,0.20106564793405046,1.4074595355383532,0.50266411983512616,0.10053282396702523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kiṅkara and Tanyao
T 276,10831,0.830948204228603,0.0,0.0,0.46163789123811283,0.55396546948573533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Dharmāgatayaśas
T 1462,242991,0.36215333078179845,0.18930742290866739,0.30042264939853741,2.016535591853196,1.2140367338708018,0.045269166347724807,0.0,0.0,0.19753818042643553,0.0,0.0,0.0,0.0,0.0,5,Saṅghabhadra
T 209,23165,0.043168573278653144,0.17267429311461258,0.34534858622922515,0.21584286639326569,0.6906971724584503,0.30218001295057195,0.0,0.0,0.6043600259011439,0.0,0.0,0.0,0.0,0.0,5,Gunavaddhi